game_id,home_team,away_team,home_points,away_points,total_points,margin,provider,closing_spread,ats_result,closing_ou,ou_result,home_ml,ml_result
401868241,Arkansas State,West Georgia,52,7,59,45,betmgm,-32.0,home_cover,56.5,over,,home_win
401868241,Arkansas State,West Georgia,52,7,59,45,betonlineag,-32.5,home_cover,56.0,over,,home_win
401868241,Arkansas State,West Georgia,52,7,59,45,betrivers,-31.5,home_cover,57.0,over,,home_win
401868241,Arkansas State,West Georgia,52,7,59,45,bovada,-31.5,home_cover,56.5,over,,home_win
401868241,Arkansas State,West Georgia,52,7,59,45,draftkings,-31.5,home_cover,56.5,over,-10000.0,home_win
401868241,Arkansas State,West Georgia,52,7,59,45,fanduel,-31.5,home_cover,56.5,over,-20000.0,home_win
401868241,Arkansas State,West Georgia,52,7,59,45,lowvig,-32.5,home_cover,56.0,over,,home_win
401868241,Arkansas State,West Georgia,52,7,59,45,mybookieag,,,56.5,over,,home_win
401860882,Colorado State,Southern Utah,58,24,82,34,Bovada,-20.5,home_cover,57.0,over,-1400.0,home_win
401860882,Colorado State,Southern Utah,58,24,82,34,DraftKings,-19.5,home_cover,57.5,over,-1350.0,home_win
401860882,Colorado State,Southern Utah,58,24,82,34,betmgm,-20.0,home_cover,57.5,over,-1400.0,home_win
401860882,Colorado State,Southern Utah,58,24,82,34,betonlineag,-20.0,home_cover,57.5,over,,home_win
401860882,Colorado State,Southern Utah,58,24,82,34,betrivers,-20.5,home_cover,56.5,over,-3335.0,home_win
401860882,Colorado State,Southern Utah,58,24,82,34,bovada,-20.5,home_cover,57.0,over,-1500.0,home_win
401860882,Colorado State,Southern Utah,58,24,82,34,draftkings,-19.5,home_cover,57.5,over,-1350.0,home_win
401860882,Colorado State,Southern Utah,58,24,82,34,fanduel,-20.5,home_cover,57.5,over,-1700.0,home_win
401860882,Colorado State,Southern Utah,58,24,82,34,lowvig,-20.0,home_cover,57.5,over,,home_win
401860882,Colorado State,Southern Utah,58,24,82,34,mybookieag,-20.5,home_cover,57.5,over,-1205.0,home_win
401862707,Sam Houston,Tulsa,17,23,40,-6,Bovada,11.5,home_cover,52.0,under,425.0,away_win
401862707,Sam Houston,Tulsa,17,23,40,-6,DraftKings,12.5,home_cover,51.5,under,380.0,away_win
401862707,Sam Houston,Tulsa,17,23,40,-6,betmgm,12.0,home_cover,51.5,under,380.0,away_win
401862707,Sam Houston,Tulsa,17,23,40,-6,betonlineag,13.0,home_cover,52.0,under,393.0,away_win
401862707,Sam Houston,Tulsa,17,23,40,-6,betrivers,11.5,home_cover,51.0,under,350.0,away_win
401862707,Sam Houston,Tulsa,17,23,40,-6,betus,12.5,home_cover,52.0,under,400.0,away_win
401862707,Sam Houston,Tulsa,17,23,40,-6,bovada,12.0,home_cover,52.0,under,375.0,away_win
401862707,Sam Houston,Tulsa,17,23,40,-6,draftkings,12.5,home_cover,51.5,under,380.0,away_win
401862707,Sam Houston,Tulsa,17,23,40,-6,fanduel,12.5,home_cover,51.5,under,420.0,away_win
401862707,Sam Houston,Tulsa,17,23,40,-6,lowvig,13.0,home_cover,52.0,under,393.0,away_win
401862707,Sam Houston,Tulsa,17,23,40,-6,mybookieag,12.5,home_cover,51.5,under,390.0,away_win
401867856,Eastern Illinois,Indiana State,35,42,77,-7,DraftKings,3.0,away_cover,49.5,over,124.0,away_win
401871046,Missouri State,Lindenwood,48,14,62,34,Bovada,-17.0,home_cover,52.5,over,-850.0,home_win
401871046,Missouri State,Lindenwood,48,14,62,34,DraftKings,-16.5,home_cover,52.5,over,-900.0,home_win
401871046,Missouri State,Lindenwood,48,14,62,34,betmgm,-16.5,home_cover,53.5,over,-900.0,home_win
401871046,Missouri State,Lindenwood,48,14,62,34,betonlineag,-16.5,home_cover,53.5,over,,home_win
